Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,vision_output_file,error
02_AI_L6_mixed,30,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,14,64,3,0,0.0,2,0.0145,0,0,0,0,3,0.0,13,,,,,,,,,
02_AI_L6_mixed,31,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,16,135,4,1,0.2848,3,0.081,1,0,0,0,4,0.2848,15,,,,,,,,,
02_AI_L6_mixed,32,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,12,58,1,1,0.731,4,0.9548,1,0,0,0,2,0.6596,12,,,,,,,,,
02_AI_L6_mixed,33,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,26,135,4,2,0.4239,7,0.1522,1,0,0,0,2,0.1267,23,,,,,,,,,
02_AI_L6_mixed,34,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,36,197,5,4,0.6065,9,0.2259,3,0,0,0,2,0.3093,32,,,,,,,,,
03_ISP_L10_image_heavy,1,,,CM3065 Lesson 10.pdf,pdf,30,9,64,2,12,1.0,2,0.6794,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,2,,,CM3065 Lesson 10.pdf,pdf,30,8,58,1,13,1.0,2,0.9907,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,3,,,CM3065 Lesson 10.pdf,pdf,30,32,231,2,6,1.0,2,0.2611,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,4,,,CM3065 Lesson 10.pdf,pdf,30,2,12,1,13,1.0,2,0.997,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,5,,,CM3065 Lesson 10.pdf,pdf,30,25,145,3,6,1.0,2,0.2545,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,6,,,CM3065 Lesson 10.pdf,pdf,30,51,286,2,6,1.0,2,0.2781,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,7,,,CM3065 Lesson 10.pdf,pdf,30,69,377,3,6,1.0,2,0.2825,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,8,,,CM3065 Lesson 10.pdf,pdf,30,57,347,4,6,1.0,2,0.2789,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,9,,,CM3065 Lesson 10.pdf,pdf,30,5,31,1,7,1.0,2,0.3797,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,10,,,CM3065 Lesson 10.pdf,pdf,30,67,456,2,6,1.0,2,0.2989,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,11,,,CM3065 Lesson 10.pdf,pdf,30,51,361,2,6,1.0,2,0.2814,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,12,,,CM3065 Lesson 10.pdf,pdf,30,58,366,2,6,1.0,2,0.2821,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,13,,,CM3065 Lesson 10.pdf,pdf,30,7,66,3,8,1.0,2,0.3574,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,14,,,CM3065 Lesson 10.pdf,pdf,30,58,370,2,6,1.0,2,0.2815,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,15,,,CM3065 Lesson 10.pdf,pdf,30,34,189,2,6,1.0,2,0.2514,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,16,,,CM3065 Lesson 10.pdf,pdf,30,61,315,3,6,1.0,2,0.2749,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,17,,,CM3065 Lesson 10.pdf,pdf,30,8,46,1,13,1.0,2,0.9923,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,18,,,CM3065 Lesson 10.pdf,pdf,30,29,183,2,6,1.0,2,0.2493,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,19,,,CM3065 Lesson 10.pdf,pdf,30,5,31,1,7,1.0,2,0.445,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,20,,,CM3065 Lesson 10.pdf,pdf,30,19,131,3,7,1.0,2,0.3667,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,21,,,CM3065 Lesson 10.pdf,pdf,30,48,285,3,7,1.0,3,0.3359,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,22,,,CM3065 Lesson 10.pdf,pdf,30,51,279,2,7,1.0,4,0.3504,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,23,,,CM3065 Lesson 10.pdf,pdf,30,46,257,2,7,1.0,3,0.3464,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,24,,,CM3065 Lesson 10.pdf,pdf,30,32,183,2,7,1.0,3,0.338,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,25,,,CM3065 Lesson 10.pdf,pdf,30,5,37,1,13,1.0,2,0.9933,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,26,,,CM3065 Lesson 10.pdf,pdf,30,86,621,6,6,1.0,2,0.2896,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,27,,,CM3065 Lesson 10.pdf,pdf,30,10,75,2,6,1.0,2,0.2423,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,28,,,CM3065 Lesson 10.pdf,pdf,30,10,77,2,6,1.0,2,0.2424,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,29,,,CM3065 Lesson 10.pdf,pdf,30,51,362,2,6,1.0,2,0.287,,,,,,,,,,,,,,,,
03_ISP_L10_image_heavy,30,,,CM3065 Lesson 10.pdf,pdf,30,4,18,1,13,1.0,2,0.9968,,,,,,,,,,,,,,,,
04_GP_T7_extreme,1,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,43,267,2,1,0.0055,2,0.0398,1,0,0,0,2,0.0055,43,,,,,,,,,
04_GP_T7_extreme,2,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,5,25,2,2,0.556,2,0.243,2,0,0,0,1,0.5561,5,,,,,,,,,
04_GP_T7_extreme,3,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,5,25,2,3,0.4945,2,0.2969,3,0,0,0,1,0.4946,5,,,,,,,,,
04_GP_T7_extreme,4,,,CM2030_GP_PPT7-CourseraWeeks13&14.pptx,pptx,15,0,0,0,2,0.7435,2,0.4414,2,0,0,0,0,0.7436,0,,,,,,,,,
